grid_id,institution,city,state,country
grid.34421.30,Iowa State University,Ames,Iowa,United States
grid.34424.35,Donald Danforth Plant Science Center,St Louis,Missouri,United States
grid.34474.30,RAND Corporation,Santa Monica,California,United States
grid.34477.33,University of Washington,Seattle,Washington,United States
grid.35403.31,University of Illinois at Urbana-Champaign,Urbana,Illinois,United States
grid.36425.36,Stony Brook University,Stony Brook,New York,United States
grid.36567.31,Kansas State University,Manhattan,Kansas,United States
grid.38142.3c,Harvard University,Cambridge,Massachusetts,United States
grid.39382.33,Baylor College of Medicine,Houston,Texas,United States
grid.39479.30,Massachusetts Eye and Ear Infirmary,Boston,Massachusetts,United States
grid.39679.32,New Mexico Institute of Mining and Technology,Socorro,New Mexico,United States
grid.39936.36,Catholic University of America,Washington D.C.,District of Columbia,United States
grid.40263.33,Brown University,Providence,Rhode Island,United States
grid.40803.3f,North Carolina State University,Raleigh,North Carolina,United States
grid.41891.35,Montana State University,Bozeman,Montana,United States
grid.42505.36,University of Southern California,Los Angeles,California,United States
grid.42752.36,Colorado State University System,Denver,Colorado,United States
grid.43582.38,Loma Linda University,Loma Linda,California,United States
grid.43969.31,Consortium of Universities for the Advancement of Hydrologic Science,Boston,Massachusetts,United States
grid.44214.37,Veterans Medical Research Foundation of San Diego,San Diego,California,United States
grid.46309.38,Museum of Science,Boston,Massachusetts,United States
grid.47100.32,Yale University,New Haven,Connecticut,United States
grid.47840.3f,"University of California, Berkeley",Berkeley,California,United States
grid.47894.36,Colorado State University,Fort Collins,Colorado,United States
grid.48336.3a,National Cancer Institute,Bethesda,Maryland,United States
grid.48950.30,University of Michigan–Flint,Flint,Michigan,United States
grid.50956.3f,Cedars-Sinai Medical Center,Los Angeles,California,United States
grid.51462.34,Memorial Sloan Kettering Cancer Center,New York,New York,United States
grid.53857.3c,Utah State University,Logan,Utah,United States
grid.53959.33,Infectious Disease Research Institute,Seattle,Washington,United States
grid.53964.3d,Center for Infectious Disease Research,Seattle,Washington,United States
grid.55033.30,"Associated Universities, Inc.",Washington D.C.,District of Columbia,United States
grid.55460.32,The University of Texas System,Austin,Texas,United States
grid.56061.34,University of Memphis,Memphis,Tennessee,United States
grid.56362.34,Urban Institute,Washington D.C.,District of Columbia,United States
grid.56466.37,Woods Hole Oceanographic Institution,Falmouth,Massachusetts,United States
grid.57764.37,Immunomedics,Morris Plains,New Jersey,United States
grid.57828.30,National Center for Atmospheric Research,Boulder,Colorado,United States
grid.58296.30,Niabi Zoological Society,Coal Valley,Illinois,United States
grid.59062.38,University of Vermont,Burlington,Vermont,United States
grid.59734.3c,Icahn School of Medicine at Mount Sinai,New York,New York,United States
grid.60094.3b,Skidmore College,Saratoga Springs,New York,United States
grid.62139.3f,Association of Universities For Research In Astronomy,Washington D.C.,District of Columbia,United States
grid.62560.37,Brigham and Women's Hospital,Boston,Massachusetts,United States
grid.62562.35,RTI International,Durham,North Carolina,United States
grid.62813.3e,Illinois Institute of Technology,Chicago,Illinois,United States
grid.63054.34,University of Connecticut,Storrs,Connecticut,United States
grid.63124.32,American University,Washington D.C.,District of Columbia,United States
grid.63368.38,Houston Methodist,Houston,Texas,United States
grid.63387.39,CRE Group,San Francisco,California,United States
grid.64212.33,Institute for Systems Biology,Seattle,Washington,United States
grid.64337.35,Louisiana State University,Baton Rouge,Louisiana,United States
grid.65456.34,Florida International University,Miami,Florida,United States
grid.65499.37,Dana-Farber Cancer Institute,Boston,Massachusetts,United States
grid.65519.3e,Oklahoma State University,Stillwater,Oklahoma,United States
grid.66859.34,Broad Institute,Cambridge,Massachusetts,United States
grid.66875.3a,Mayo Clinic,Rochester,Minnesota,United States
grid.67033.31,Tufts Medical Center,Boston,Massachusetts,United States
grid.67104.34,Harvard Pilgrim Health Care,Boston,Massachusetts,United States
grid.67105.35,Case Western Reserve University,Cleveland,Ohio,United States
grid.70738.3b,University of Alaska Fairbanks,Fairbanks,Alaska,United States
grid.78989.37,Institute for Advanced Study,Princeton,New Jersey,United States
grid.85084.31,United States Department of Energy,Washington D.C.,District of Columbia,United States
grid.89170.37,United States Naval Research Laboratory,Washington D.C.,District of Columbia,United States
grid.89336.37,The University of Texas at Austin,Austin,Texas,United States
grid.94225.38,National Institute of Standards and Technology,Gaithersburg,Maryland,United States
grid.94365.3d,National Institutes of Health,Bethesda,Maryland,United States
grid.98913.3a,SRI International,Menlo Park,California,United States
grid.116068.8,Massachusetts Institute of Technology,Cambridge,Massachusetts,United States
grid.131063.6,University of Notre Dame,Notre Dame,Indiana,United States
grid.133275.1,Goddard Space Flight Center,Greenbelt,Maryland,United States
grid.133342.4,"University of California, Santa Barbara",Santa Barbara,California,United States
grid.134563.6,University of Arizona,Tucson,Arizona,United States
grid.134907.8,Rockefeller University,New York,New York,United States
grid.134936.a,University of Missouri,Columbia,Missouri,United States
grid.135519.a,Oak Ridge National Laboratory,Oak Ridge,Tennessee,United States
grid.135963.b,University of Wyoming,Laramie,Wyoming,United States
grid.137628.9,New York University,New York,New York,United States
grid.144532.5,Marine Biological Laboratory,Woods Hole,Massachusetts,United States
grid.147455.6,Carnegie Mellon University,Pittsburgh,Pennsylvania,United States
grid.148313.c,Los Alamos National Laboratory,Los Alamos,New Mexico,United States
grid.152326.1,Vanderbilt University,Nashville,Tennessee,United States
grid.152963.a,Torrey Pines Institute For Molecular Studies,San Diego,California,United States
grid.155203.0,California State Polytechnic University,Pomona,California,United States
grid.162346.4,University of Hawaii System,Honolulu,Hawaii,United States
grid.164295.d,"University of Maryland, College Park",College Park,Maryland,United States
grid.164971.c,Loyola University Chicago,Chicago,Illinois,United States
grid.166341.7,Drexel University,Philadelphia,Pennsylvania,United States
grid.167436.1,University of New Hampshire,Durham,New Hampshire,United States
grid.168010.e,Stanford University,Stanford,California,United States
grid.168645.8,University of Massachusetts Medical School,Worcester,Massachusetts,United States
grid.169077.e,Purdue University West Lafayette,West Lafayette,Indiana,United States
grid.170202.6,University of Oregon,Eugene,Oregon,United States
grid.170205.1,University of Chicago,Chicago,Illinois,United States
grid.170430.1,University of Central Florida,Orlando,Florida,United States
grid.170693.a,University of South Florida,Tampa,Florida,United States
grid.175455.7,University of Alaska System,Fairbanks,Alaska,United States
grid.176731.5,The University of Texas Medical Branch at Galveston,Galveston,Texas,United States
grid.182981.b,Reed College,Portland,Oregon,United States
grid.183006.c,Brooklyn College,Brooklyn,New York,United States
grid.184764.8,Boise State University,Boise,Idaho,United States
grid.184769.5,Lawrence Berkeley National Laboratory,Berkeley,California,United States
grid.185006.a,La Jolla Institute For Allergy & Immunology,San Diego,California,United States
grid.185107.a,International Computer Science Institute,Berkeley,California,United States
grid.185648.6,University of Illinois at Chicago,Chicago,Illinois,United States
grid.185669.5,Illumina,San Diego,California,United States
grid.186587.5,San Jose State University,San Jose,California,United States
grid.187073.a,Argonne National Laboratory,Lemont,Illinois,United States
grid.187082.4,University of Houston System,Houston,Texas,United States
grid.189504.1,Boston University,Boston,Massachusetts,United States
grid.189509.c,Duke University Hospital,Durham,North Carolina,United States
grid.189747.4,State University of New York,Albany,New York,United States
grid.189967.8,Emory University,Atlanta,Georgia,United States
grid.190697.0,Missouri Botanical Garden,St Louis,Missouri,United States
grid.192673.8,General Atomics,San Diego,California,United States
grid.194632.b,University of Arkansas System,Little Rock,Arkansas,United States
grid.201075.1,Henry M. Jackson Foundation,Bethesda,Maryland,United States
grid.201076.2,New York University School of Medicine,New York,New York,United States
grid.201894.6,Southwest Research Institute,San Antonio,Texas,United States
grid.202665.5,Brookhaven National Laboratory,Upton,New York,United States
grid.205975.c,"University of California, Santa Cruz",Santa Cruz,California,United States
grid.208078.5,University of Connecticut Health Center,Farmington,Connecticut,United States
grid.208226.c,Boston College,Boston,Massachusetts,United States
grid.208516.8,MCNC Research and Development Institute,Durham,North Carolina,United States
grid.209665.e,Santa Fe Institute,Santa Fe,New Mexico,United States
grid.211367.0,Jet Propulsion Lab,La Cañada Flintridge,California,United States
grid.212340.6,City University of New York,New York,New York,United States
grid.212500.4,Have Dreams,Park Ridge,Illinois,United States
grid.213876.9,University of Georgia,Athens,Georgia,United States
grid.213902.b,"California State University, Long Beach",Long Beach,California,United States
grid.213910.8,Georgetown University,Washington D.C.,District of Columbia,United States
grid.213917.f,Georgia Institute of Technology,Atlanta,Georgia,United States
grid.214007.0,Scripps Research Institute,San Diego,California,United States
grid.214409.a,Murray State University,Murray,Kentucky,United States
grid.214431.1,National Institute on Deafness and Other Communication Disorders,Bethesda,Maryland,United States
grid.214458.e,University of Michigan–Ann Arbor,Ann Arbor,Michigan,United States
grid.214572.7,University of Iowa,Iowa City,Iowa,United States
grid.215352.2,The University of Texas at San Antonio,San Antonio,Texas,United States
grid.215654.1,Arizona State University,Tempe,Arizona,United States
grid.217156.6,Occidental College,Los Angeles,California,United States
grid.217197.b,University of North Carolina Wilmington,Wilmington,North Carolina,United States
grid.217200.6,Scripps Institution of Oceanography,La Jolla,California,United States
grid.217309.e,Stevens Institute of Technology,Hoboken,New Jersey,United States
grid.218187.5,"Artann Laboratories, Inc.",Trenton,New Jersey,United States
grid.218364.a,Resources For The Future,Washington D.C.,District of Columbia,United States
grid.223827.e,University of Utah,Salt Lake City,Utah,United States
grid.224260.0,Virginia Commonwealth University,Richmond,Virginia,United States
grid.225262.3,University of Massachusetts Lowell,Lowell,Massachusetts,United States
grid.225279.9,Cold Spring Harbor Laboratory,Cold Spring Harbor,New York,United States
grid.233134.4,Geneva College,Beaver Falls,Pennsylvania,United States
grid.236631.3,Alabama Department of Public Health,Montgomery,Alabama,United States
grid.236741.5,Boston Public Health Commission,Boston,Massachusetts,United States
grid.236813.d,California Department of Health Care Services,Sacramento,California,United States
grid.236815.b,California Department of Public Health,Sacramento,California,United States
grid.237222.4,Earthquake Engineering Research Institute,Oakland,California,United States
grid.237416.5,General Services Administration,Washington D.C.,District of Columbia,United States
grid.238252.c,National Aeronautics and Space Administration,Washington D.C.,District of Columbia,United States
grid.238398.b,National Weather Service,Silver Spring,Maryland,United States
grid.238434.a,New Jersey Department of Health,Trenton,New Jersey,United States
grid.238456.e,New Mexico Department of Health,Santa Fe,New Mexico,United States
grid.238477.d,New York City Department of Health and Mental Hygiene,New York,New York,United States
grid.238491.5,New York State Department of Health,Albany,New York,United States
grid.238616.8,Oklahoma Department of Mental Health and Substance Abuse Services,Oklahoma City,Oklahoma,United States
grid.238667.e,Oklahoma State Department of Health,Oklahoma City,Oklahoma,United States
grid.238692.4,Oregon Department of Human Services,Salem,Oregon,United States
grid.238728.4,Pennsylvania Department of Human Services,Harrisburg,Pennsylvania,United States
grid.238801.0,Public Health – Seattle & King County,Seattle,Washington,United States
grid.239102.b,UNAVCO,Boulder,Colorado,United States
grid.239119.1,United States Department of Commerce,Washington D.C.,District of Columbia,United States
grid.239134.e,United States Department of the Interior,Washington D.C.,District of Columbia,United States
grid.239157.b,United States Office of Personnel Management,Washington D.C.,District of Columbia,United States
grid.239186.7,Veterans Health Administration,Washington D.C.,District of Columbia,United States
grid.239276.b,Einstein Medical Center Philadelphia,Philadelphia,Pennsylvania,United States
grid.239281.3,Alfred I. duPont Hospital for Children,Wilmington,Delaware,United States
grid.239305.e,Arkansas Children's Hospital,Little Rock,Arkansas,United States
grid.239359.7,Barnes-Jewish Hospital,St Louis,Missouri,United States
grid.239395.7,Beth Israel Deaconess Medical Center,Boston,Massachusetts,United States
grid.239424.a,Boston Medical Center,Boston,Massachusetts,United States
grid.239475.e,Cambridge Health Alliance,Cambridge,Massachusetts,United States
grid.239494.1,Carolinas Medical Center,Charlotte,North Carolina,United States
grid.239546.f,Children's Hospital of Los Angeles,Los Angeles,California,United States
grid.239552.a,Children's Hospital of Philadelphia,Philadelphia,Pennsylvania,United States
grid.239553.b,Children's Hospital of Pittsburgh,Pittsburgh,Pennsylvania,United States
grid.239559.1,Children's Mercy Hospital,Kansas City,Missouri,United States
grid.239560.b,Children’s National Health System,Washington D.C.,District of Columbia,United States
grid.239573.9,Cincinnati Children's Hospital Medical Center,Cincinnati,Ohio,United States
grid.239578.2,Cleveland Clinic,Cleveland,Ohio,United States
grid.239585.0,Columbia University Medical Center,New York,New York,United States
grid.239638.5,Denver Health Medical Center,Denver,Colorado,United States
grid.239835.6,Hackensack University Medical Center,Hackensack,New Jersey,United States
grid.239838.b,Hahnemann University Hospital,Philadelphia,Pennsylvania,United States
grid.239844.0,Harbor–UCLA Medical Center,Torrance,California,United States
grid.239864.2,Henry Ford Health System,Detroit,Michigan,United States
grid.239915.5,Hospital for Special Surgery,New York,New York,United States
grid.240023.7,Kennedy Krieger Institute,Baltimore,Maryland,United States
grid.240093.c,Legacy Emanuel Medical Center,Portland,Oregon,United States
grid.240094.b,Legacy Good Samaritan Medical Center,Portland,Oregon,United States
grid.240145.6,The University of Texas MD Anderson Cancer Center,Houston,Texas,United States
grid.240160.1,Maine Medical Center,Portland,Maine,United States
grid.240206.2,McLean Hospital,Belmont,Massachusetts,United States
grid.240223.5,Memorial Hospital of Rhode Island,Pawtucket,Rhode Island,United States
grid.240267.5,Miriam Hospital,Providence,Rhode Island,United States
grid.240283.f,Montefiore Medical Center,The Bronx,New York,United States
grid.240324.3,New York University Langone Medical Center,New York,New York,United States
grid.240341.0,National Jewish Health,Denver,Colorado,United States
grid.240344.5,Nationwide Children's Hospital,Columbus,Ohio,United States
grid.240372.0,NorthShore University HealthSystem,Evanston,Illinois,United States
grid.240382.f,North Shore University Hospital,Manhasset,New York,United States
grid.240416.5,Ochsner Medical Center,New Orleans,Louisiana,United States
grid.240473.6,Penn State Milton S. Hershey Medical Center,Hershey,Pennsylvania,United States
grid.240531.1,Providence Portland Medical Center,Portland,Oregon,United States
grid.240588.3,Rhode Island Hospital,Providence,Rhode Island,United States
grid.240606.6,Roger Williams Medical Center,Providence,Rhode Island,United States
grid.240614.5,Roswell Park Cancer Institute,Buffalo,New York,United States
grid.240684.c,Rush University Medical Center,Chicago,Illinois,United States
grid.240723.0,Sanford USD Medical Center,Sioux Falls,South Dakota,United States
grid.240736.4,Scott & White Memorial Hospital,Temple,Texas,United States
grid.240741.4,Seattle Children's Hospital,Seattle,Washington,United States
grid.240845.f,St. Elizabeth's Medical Center,Boston,Massachusetts,United States
grid.240866.e,St. Joseph's Hospital and Medical Center,Phoenix,Arizona,United States
grid.240871.8,St. Jude Children's Research Hospital,Memphis,Tennessee,United States
grid.240873.a,St. Luke's-Roosevelt Hospital Center,New York,New York,United States
grid.240952.8,Stanford Medicine,Stanford,California,United States
grid.241054.6,University of Arkansas for Medical Sciences,Little Rock,Arkansas,United States
grid.241104.2,University Hospitals of Cleveland,Cleveland,Ohio,United States
grid.241116.1,University of Colorado Denver,Denver,Colorado,United States
grid.241128.c,University of Tennessee Medical Center,Knoxville,Tennessee,United States
grid.241167.7,Wake Forest University,Winston-Salem,North Carolina,United States
grid.241223.4,Women & Infants Hospital of Rhode Island,Providence,Rhode Island,United States
grid.241525.5,Library of Congress,Washington D.C.,District of Columbia,United States
grid.241963.b,American Museum of Natural History,New York,New York,United States
grid.242287.9,California Academy of Sciences,San Francisco,California,United States
grid.242678.d,Exploratorium,San Francisco,California,United States
grid.242769.c,Franklin Institute,Philadelphia,Pennsylvania,United States
grid.243035.3,Illinois State Museum,Springfield,Illinois,United States
grid.243789.3,Museum of the Earth,Ithaca,New York,United States
grid.243983.7,Natural History Museum of Los Angeles County,Los Angeles,California,United States
grid.244026.6,New York Hall of Science,New York,New York,United States
grid.244124.5,Oregon Museum of Science and Industry,Portland,Oregon,United States
grid.244424.0,Science Museum of Minnesota,Saint Paul,Minnesota,United States
grid.245112.1,American Society for Cell Biology,Bethesda,Maryland,United States
grid.245835.d,Family Health International 360,Durham,North Carolina,United States
grid.245849.6,Fenway Health,Boston,Massachusetts,United States
grid.246210.3,Institute of Electrical and Electronics Engineers,Piscataway,New Jersey,United States
grid.246886.6,Optical Society,Washington D.C.,District of Columbia,United States
grid.246916.e,Point Blue Conservation Science,Petaluma,California,United States
grid.247135.6,Rockefeller Foundation,New York,New York,United States
grid.247550.1,Minerals Metals and Materials Society,Pittsburgh,Pennsylvania,United States
grid.247980.0,Central Connecticut State University,New Britain,Connecticut,United States
grid.248193.5,Kitt Peak National Observatory,Tucson,Arizona,United States
grid.248232.d,Lowell Observatory,Flagstaff,Arizona,United States
grid.248465.9,Smithsonian Astrophysical Observatory,Cambridge,Massachusetts,United States
grid.248592.0,Western Connecticut State University,Danbury,Connecticut,United States
grid.248698.9,American Institute of Mathematics,Palo Alto,California,United States
grid.248717.f,Archbold Biological Station,Lake Placid,Florida,United States
grid.249225.a,East–West Center,Honolulu,Hawaii,United States
grid.249335.a,Fox Chase Cancer Center,Philadelphia,Pennsylvania,United States
grid.249445.a,Haskins Laboratories,New Haven,Connecticut,United States
grid.249447.8,Hauptman-Woodward Medical Research Institute,Buffalo,New York,United States
grid.249878.8,Gladstone Institutes,San Francisco,California,United States
grid.249880.f,Jackson Laboratory,Bar Harbor,Maine,United States
grid.250008.f,Lawrence Livermore National Laboratory,Livermore,California,United States
grid.250060.1,Louisiana State University Agricultural Center,Baton Rouge,Louisiana,United States
grid.250078.8,MRIGlobal,Kansas City,Missouri,United States
grid.250107.1,Mathematical Sciences Research Institute,Berkeley,California,United States
grid.250221.6,Monell Chemical Senses Center,Philadelphia,Pennsylvania,United States
grid.250230.6,Mount Desert Island Biological Laboratory,Bar Harbor,Maine,United States
grid.250263.0,Nathan Kline Institute for Psychiatric Research,Orangeburg,New York,United States
grid.250279.b,National Bureau of Economic Research,Cambridge,Massachusetts,United States
grid.250415.7,New York Blood Center,New York,New York,United States
grid.250514.7,Pennington Biomedical Research Center,Baton Rouge,Louisiana,United States
grid.250540.6,Population Council,New York,New York,United States
grid.250671.7,Salk Institute for Biological Studies,La Jolla,California,United States
grid.250741.5,Smith-Kettlewell Eye Research Institute,San Francisco,California,United States
grid.250747.3,Social Science Research Council,New York,New York,United States
grid.250820.d,Stowers Institute for Medical Research,Kansas City,Missouri,United States
grid.250889.e,Texas Biomedical Research Institute,San Antonio,Texas,United States
grid.250903.d,Feinstein Institute for Medical Research,Manhasset,New York,United States
grid.250942.8,Translational Genomics Research Institute,Phoenix,Arizona,United States
grid.250945.f,Trudeau Institute,Saranac Lake,New York,United States
grid.251017.0,Van Andel Institute,Grand Rapids,Michigan,United States
grid.251075.4,The Wistar Institute,Philadelphia,Pennsylvania,United States
grid.251079.8,Woods Hole Research Center,Falmouth,Massachusetts,United States
grid.251313.7,University of Mississippi,Oxford,Mississippi,United States
grid.251612.3,A.T. Still University,Kirksville,Missouri,United States
grid.251705.4,Abilene Christian University,Abilene,Texas,United States
grid.251779.f,Adams State University,Alamosa,Colorado,United States
grid.251789.0,Adelphi University,Garden City,New York,United States
grid.251844.e,Agnes Scott College,Decatur,Georgia,United States
grid.251973.b,Alabama Agricultural and Mechanical University,Huntsville,Alabama,United States
grid.251976.e,Alabama State University,Montgomery,Alabama,United States
grid.251984.3,Alaska Pacific University,Anchorage,Alaska,United States
grid.251990.6,Albany State University,Albany,Georgia,United States
grid.251993.5,Albert Einstein College of Medicine,The Bronx,New York,United States
grid.252000.5,Albion College,Albion,Michigan,United States
grid.252003.6,Alcorn State University,Fayette,Mississippi,United States
grid.252018.c,Alfred University,Alfred,New York,United States
grid.252039.f,Allegheny College,Meadville,Pennsylvania,United States
grid.252042.3,Allen University,Columbia,South Carolina,United States
grid.252048.9,Alliant International University,San Diego,California,United States
grid.252049.8,Alma College,Alma,Michigan,United States
grid.252152.3,Amherst College,Amherst Center,Massachusetts,United States
grid.252222.7,Andrews University,Berrien Springs,Michigan,United States
grid.252227.2,Angelo State University,San Angelo,Texas,United States
grid.252289.6,Antioch University,Yellow Springs,Ohio,United States
grid.252292.c,Antioch University New England,Keene,New Hampshire,United States
grid.252323.7,Appalachian State University,Boone,North Carolina,United States
grid.252353.0,Arcadia University,Glenside,Pennsylvania,United States
grid.252381.f,Arkansas State University,Jonesboro,Arkansas,United States
grid.252383.d,Arkansas Tech University,Russellville,Arkansas,United States
grid.252390.f,Armstrong Atlantic State University,Savannah,Georgia,United States
grid.252443.6,Ashland University,Ashland,Ohio,United States
grid.252447.2,Ashworth College,Norcross,Georgia,United States
grid.252523.1,Athens State University,Athens,Alabama,United States
grid.252535.6,Atlanta University Center,Atlanta,Georgia,United States
grid.252546.2,Auburn University,Auburn,Alabama,United States
grid.252549.d,Augsburg College,Minneapolis,Minnesota,United States
grid.252555.0,Augustana University,Sioux Falls,South Dakota,United States
grid.252563.5,Aurora University,Aurora,Illinois,United States
grid.252567.1,Austin Peay State University,Clarksville,Tennessee,United States
grid.252626.7,Avila University,Kansas City,Missouri,United States
grid.252657.1,Azusa Pacific University,Azusa,California,United States
grid.252735.4,Baker University,Baldwin City,Kansas,United States
grid.252749.f,Baldwin–Wallace College,Berea,Ohio,United States
grid.252754.3,Ball State University,Muncie,Indiana,United States
grid.252838.6,Bard College,Kingston,New York,United States
grid.252853.b,Barry University,Miami,Florida,United States
grid.252858.0,Baruch College,New York,New York,United States
grid.252865.e,Bastyr University,Kenmore,Washington,United States
grid.252873.9,Bates College,Lewiston,Maine,United States
grid.252884.1,Bayamón Central University,Bayamon,Puerto Rico,United States
grid.252890.4,Baylor University,Waco,Texas,United States
grid.252934.b,Bellarmine University,Louisville,Kentucky,United States
grid.252942.a,Belmont University,Nashville,Tennessee,United States
grid.252943.b,Beloit College,Beloit,Wisconsin,United States
grid.252944.c,Bemidji State University,Bemidji,Minnesota,United States
grid.252950.9,Benedictine University,Lisle,Illinois,United States
grid.252968.2,Bentley University,Waltham,Massachusetts,United States
grid.252972.9,Berea College,Berea,Kentucky,United States
grid.253009.d,Bethune-Cookman University,Daytona Beach,Florida,United States
grid.253109.c,Birmingham–Southern College,Birmingham,Alabama,United States
grid.253147.6,Black Hills State University,Spearfish,South Dakota,United States
grid.253152.2,Blackburn College,Carlinville,Illinois,United States
grid.253165.6,Bloomsburg University,Bloomsburg,Pennsylvania,United States
grid.253205.3,Borough of Manhattan Community College,New York,New York,United States
grid.253245.7,Bowdoin College,Brunswick,Maine,United States
grid.253246.4,Bowie State University,Bowie,Maryland,United States
grid.253248.a,Bowling Green State University,Bowling Green,Ohio,United States
grid.253259.a,Bradley University,Peoria,Illinois,United States
grid.253264.4,Brandeis University,Waltham,Massachusetts,United States
grid.253277.6,Brenau University,Gainesville,Georgia,United States
grid.253291.e,Bridgewater College,Bridgewater,Virginia,United States
grid.253292.d,Bridgewater State University,Bridgewater,Massachusetts,United States
grid.253294.b,Brigham Young University,Provo,Utah,United States
grid.253355.7,Bryn Mawr College,Bryn Mawr,Pennsylvania,United States
grid.253363.2,Bucknell University,Lewisburg,Pennsylvania,United States
grid.253378.8,Buena Vista University,Storm Lake,Iowa,United States
grid.253419.8,Butler University,Indianapolis,Indiana,United States
grid.253482.a,"The Graduate Center, CUNY",New York,New York,United States
grid.253542.7,California Lutheran University,Thousand Oaks,California,United States
grid.253546.3,California Pacific University,Escondido,California,United States
grid.253547.2,California Polytechnic State University,San Luis Obispo,California,United States
grid.253552.6,California State University System,Long Beach,California,United States
grid.253553.7,"California State University, Bakersfield",Bakersfield,California,United States
grid.253554.0,"California State University, Channel Islands",Camarillo,California,United States
grid.253555.1,"California State University, Chico",Chico,California,United States
grid.253556.2,"California State University, Dominguez Hills",Carson,California,United States
grid.253557.3,"California State University, East Bay",Hayward,California,United States
grid.253558.c,"California State University, Fresno",Fresno,California,United States
grid.253559.d,"California State University, Fullerton",Fullerton,California,United States
grid.253561.6,California State University Los Angeles,Los Angeles,California,United States
grid.253562.5,"California State University, Monterey Bay",Seaside,California,United States
grid.253563.4,"California State University, Northridge",Northridge,California,United States
grid.253564.3,"California State University, Sacramento",Sacramento,California,United States
grid.253565.2,"California State University, San Bernardino",San Bernardino,California,United States
grid.253566.1,"California State University, San Marcos",San Marcos,California,United States
grid.253567.0,"California State University, Stanislaus",Turlock,California,United States
grid.253569.e,California University of Pennsylvania,California,Pennsylvania,United States
